date,stock_id,percent,people,unit
2026-09-04,1783,63.91,19,57340884
2026-09-04,1784,28.8,15,15307333
2026-09-04,1785,43.12,109,257080658
2026-09-04,1786,51.34,24,38427956
2026-09-04,1788,49.790000000000006,15,22176091
2026-09-04,1789,76.98,54,608866324
2026-09-04,1794,0.0,0,0
2026-09-04,1795,57.18,30,152579148
2026-09-04,1796,55.76,12,23129329
2026-09-04,1799,66.26,22,164895806
2026-09-04,1802,76.36999999999999,174,2221562076
2026-09-04,1805,77.45,38,104562026
2026-09-04,1806,74.75999999999999,61,291896081
2026-09-04,1807,47.38,37,54214852
2026-09-04,1808,80.82,96,721986570
2026-09-04,1809,47.96,31,80148450
2026-09-04,1810,61.85,69,187004041
2026-09-04,1813,47.73,16,22268888
2026-09-04,1814,78.82000000000001,12,14965621
2026-09-04,1815,55.55,90,325303919
2026-09-04,1816,94.8,2,23241949
2026-09-04,1817,65.0,26,47192937
2026-09-04,1818,75.49,7,8785473
2026-09-04,1819,84.42,17,28292267
2026-09-04,1903,81.28,66,211397254
2026-09-04,1904,68.28,146,757042677
2026-09-04,1905,71.7,70,790944340
2026-09-04,1906,74.41,26,112391332
2026-09-04,1907,85.44000000000001,210,1418853344
2026-09-04,1907A,0.0,0,0
2026-09-04,1909,68.37,164,907940922
2026-09-04,1918,20.8,26,50241882
2026-09-04,2002,53.1,1489,8359110204
2026-09-04,2002A,21.79,10,8344500
2026-09-04,2006,80.92,156,591079566
2026-09-04,2007,76.78,14,407532527
